utc,jdut,x_km,y_km,z_km
2026-Apr-04 10:31:00.0000,2461134.938194444,-104928.6700630017,-230816.4559202486,-21678.62420055966
2026-Apr-04 10:32:00.0000,2461134.938888889,-104941.9678050031,-230885.9728415765,-21684.8322472666
2026-Apr-04 10:33:00.0000,2461134.939583333,-104955.256823165,-230955.4696559952,-21691.03841867484
2026-Apr-04 10:34:00.0000,2461134.940277778,-104968.5371240251,-231024.9463737881,-21697.24271578899
2026-Apr-04 10:35:00.0000,2461134.940972222,-104981.8087141137,-231094.4030052283,-21703.44513961216
2026-Apr-04 10:36:00.0000,2461134.941666667,-104995.0715999536,-231163.8395605768,-21709.64569114687
2026-Apr-04 10:37:00.0000,2461134.942361111,-105008.3257880601,-231233.2560500842,-21715.84437139428
2026-Apr-04 10:38:00.0000,2461134.943055556,-105021.5712849409,-231302.6524839899,-21722.04118135465
2026-Apr-04 10:39:00.0000,2461134.94375,-105034.8080970968,-231372.0288725222,-21728.23612202701
2026-Apr-04 10:40:00.0000,2461134.944444444,-105048.0362310205,-231441.3852258988,-21734.42919440939
2026-Apr-04 10:41:00.0000,2461134.945138889,-105061.2556931977,-231510.7215543259,-21740.62039949866
2026-Apr-04 10:42:00.0000,2461134.945833333,-105074.4664901067,-231580.0378679991,-21746.80973829085
2026-Apr-04 10:43:00.0000,2461134.946527778,-105087.6686282181,-231649.3341771028,-21752.99721178066
2026-Apr-04 10:44:00.0000,2461134.947222222,-105100.8621139955,-231718.6104918109,-21759.1828209619
2026-Apr-04 10:45:00.0000,2461134.947916667,-105114.0469538951,-231787.8668222857,-21765.36656682727
2026-Apr-04 10:46:00.0000,2461134.948611111,-105127.2231543653,-231857.1031786793,-21771.54845036844
2026-Apr-04 10:47:00.0000,2461134.949305556,-105140.3907218478,-231926.3195711325,-21777.72847257592
2026-Apr-04 10:48:00.0000,2461134.95,-105153.5496627767,-231995.5160097755,-21783.90663443926
2026-Apr-04 10:49:00.0000,2461134.950694445,-105166.6999835785,-232064.6925047275,-21790.08293694688
2026-Apr-04 10:50:00.0000,2461134.951388889,-105179.8416906729,-232133.8490660969,-21796.25738108628
2026-Apr-04 10:51:00.0000,2461134.952083333,-105192.974790472,-232202.9857039813,-21802.42996784375
2026-Apr-04 10:52:00.0000,2461134.952777778,-105206.0992893809,-232272.1024284675,-21808.60069820461
2026-Apr-04 10:53:00.0000,2461134.953472222,-105219.2151937971,-232341.1992496318,-21814.7695731532
2026-Apr-04 10:54:00.0000,2461134.954166667,-105232.3225101112,-232410.276177539,-21820.93659367257
2026-Apr-04 10:55:00.0000,2461134.954861111,-105245.4212447062,-232479.3332222439,-21827.10176074505
2026-Apr-04 10:56:00.0000,2461134.955555555,-105258.5114039582,-232548.3703937905,-21833.26507535168
2026-Apr-04 10:57:00.0000,2461134.95625,-105271.592994236,-232617.3877022116,-21839.42653847257
2026-Apr-04 10:58:00.0000,2461134.956944444,-105284.6660219012,-232686.3851575297,-21845.58615108673
2026-Apr-04 10:59:00.0000,2461134.957638889,-105297.7304933082,-232755.3627697567,-21851.74391417216
2026-Apr-04 11:00:00.0000,2461134.958333333,-105310.7864148042,-232824.3205488935,-21857.89982870586
2026-Apr-04 11:01:00.0000,2461134.959027778,-105323.8337927293,-232893.2585049306,-21864.05389566378
2026-Apr-04 11:02:00.0000,2461134.959722222,-105336.8726334165,-232962.1766478478,-21870.2061160208
2026-Apr-04 11:03:00.0000,2461134.960416667,-105349.9029431916,-233031.0749876143,-21876.35649075071
2026-Apr-04 11:04:00.0000,2461134.961111111,-105362.9247283732,-233099.9535341887,-21882.50502082644
2026-Apr-04 11:05:00.0000,2461134.961805556,-105375.937995273,-233168.812297519,-21888.65170721979
2026-Apr-04 11:06:00.0000,2461134.9625,-105388.9427501955,-233237.6512875428,-21894.79655090145
2026-Apr-04 11:07:00.0000,2461134.963194444,-105401.9389994382,-233306.4705141868,-21900.93955284121
2026-Apr-04 11:08:00.0000,2461134.963888889,-105414.9267492913,-233375.2699873675,-21907.08071400781
2026-Apr-04 11:09:00.0000,2461134.964583333,-105427.9060060382,-233444.0497169907,-21913.22003536907
2026-Apr-04 11:10:00.0000,2461134.965277778,-105440.8767759551,-233512.8097129519,-21919.3575178914
2026-Apr-04 11:11:00.0000,2461134.965972222,-105453.8390653113,-233581.5499851358,-21925.49316254076
2026-Apr-04 11:12:00.0000,2461134.966666667,-105466.7928803691,-233650.2705434169,-21931.62697028158
2026-Apr-04 11:13:00.0000,2461134.967361111,-105479.7382273835,-233718.9713976593,-21937.75894207759
2026-Apr-04 11:14:00.0000,2461134.968055556,-105492.6751126028,-233787.6525577164,-21943.88907889131
2026-Apr-04 11:15:00.0000,2461134.96875,-105505.6035422683,-233856.3140334313,-21950.01738168452
2026-Apr-04 11:16:00.0000,2461134.969444444,-105518.5235226142,-233924.9558346367,-21956.14385141776
2026-Apr-04 11:17:00.0000,2461134.970138889,-105531.4350598678,-233993.577971155,-21962.26848905045
2026-Apr-04 11:18:00.0000,2461134.970833333,-105544.3381602495,-234062.1804527981,-21968.39129554127
2026-Apr-04 11:19:00.0000,2461134.971527778,-105557.2328299728,-234130.7632893676,-21974.51227184785
2026-Apr-04 11:20:00.0000,2461134.972222222,-105570.1190752441,-234199.3264906547,-21980.63141892661
2026-Apr-04 11:21:00.0000,2461134.972916667,-105582.996902263,-234267.8700664405,-21986.74873773323
2026-Apr-04 11:22:00.0000,2461134.973611111,-105595.8663172223,-234336.3940264954,-21992.86422922218
2026-Apr-04 11:23:00.0000,2461134.974305556,-105608.7273263078,-234404.8983805798,-21998.97789434709
2026-Apr-04 11:24:00.0000,2461134.975,-105621.5799356984,-234473.3831384438,-22005.0897340604
2026-Apr-04 11:25:00.0000,2461134.975694444,-105634.4241515663,-234541.8483098272,-22011.19974931379
2026-Apr-04 11:26:00.0000,2461134.976388889,-105647.2599800766,-234610.2939044595,-22017.30794105778
2026-Apr-04 11:27:00.0000,2461134.977083333,-105660.0874273878,-234678.7199320598,-22023.41431024187
2026-Apr-04 11:28:00.0000,2461134.977777778,-105672.9064996515,-234747.1264023376,-22029.51885781478
2026-Apr-04 11:29:00.0000,2461134.978472222,-105685.7172030124,-234815.5133249914,-22035.62158472394
2026-Apr-04 11:30:00.0000,2461134.979166667,-105698.5195436085,-234883.8807097101,-22041.72249191602
2026-Apr-04 11:31:00.0000,2461134.979861111,-105711.313527571,-234952.2285661722,-22047.82158033659
2026-Apr-04 11:32:00.0000,2461134.980555556,-105724.0991610244,-235020.556904046,-22053.91885093032
2026-Apr-04 11:33:00.0000,2461134.98125,-105736.8764500861,-235088.8657329898,-22060.01430464079
2026-Apr-04 11:34:00.0000,2461134.981944445,-105749.6454008673,-235157.1550626517,-22066.1079424107
2026-Apr-04 11:35:00.0000,2461134.982638889,-105762.4060194718,-235225.4249026696,-22072.19976518171
2026-Apr-04 11:36:00.0000,2461134.983333333,-105775.1583119972,-235293.6752626717,-22078.28977389443
